businessUnitId,displayName,identifyingName,profileUrl,trustScore,stars,numberOfReviews,isRecommendedInCategories,location_address,location_city,location_zipCode,location_country,contact_website,contact_email,contact_phone,categories,logoUrl
5d222bcfede6560001aed8c9,Divi Life,divilife.com,https://www.trustpilot.com/review/divilife.com,4.9,5,365,True,402a W Palm Valley Blvd,Round Rock,78664,United States,https://divilife.com,,9493917696,Website Designer|Software Company|Online Marketing Agency|Educational Consultant,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d222bcfede6560001aed8c9/198x149.png
5ce3e21b0e73850001174a3e,Jobma,jobma.com,https://www.trustpilot.com/review/jobma.com,4.9,5,355,True,13911 Ridgedale Drive,Minnetonka,55305,United States,https://www.jobma.com/,sales@jobma.com,1800-986-5620,Software Company,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ce3e21b0e73850001174a3e/198x149.png
60d24573aaaca70001a41d17,PillBanana,pillbanana.com,https://www.trustpilot.com/review/pillbanana.com,4.9,5,313,True,Rockdown,Florida,17758,United States,https://pillbanana.com,info@pillbanana.com,+17198967912,Software Company,//s3-eu-west-1.amazonaws.com/tpd/screenshots/60d24573aaaca70001a41d17/198x149.png
65aff6c4783c8e5721f84dda,CustomerBase,customerbase.com,https://www.trustpilot.com/review/customerbase.com,4.9,5,291,True,,,,United States,https://www.customerbase.com,support@customerbase.com,(800) 576-5123,Internet Marketing Service|Software Company|Payment Service|CRM Provider,//s3-eu-west-1.amazonaws.com/tpd/screenshots/65aff6c4783c8e5721f84dda/198x149.png
6435c7d117cc990a6d1ba5a6,"Bangert, Inc.",bangertinc.com,https://www.trustpilot.com/review/bangertinc.com,4.9,5,276,True,"814 E Main Street, #112",Gardner,66030,United States,https://bangertinc.com,help@bangertinc.com,8004587369,Software Vendor|Accounting Software Company,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/6435c7d117cc990a6d1ba5a6/198x149.png
6852cc0bca40503a05851e3e,Unixx Shop,unixx.shop,https://www.trustpilot.com/review/unixx.shop,4.9,5,135,True,,,,United States,https://unixx.shop,,,Gaming service Provider|Video Game Store|Computer Software Store|Software Company|e-Commerce Service,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/6852cc0bca40503a05851e3e/198x149.png
655bc2a3f85442cfdfd79372,Perry Weather,perryweather.com,https://www.trustpilot.com/review/perryweather.com,4.9,5,134,True,3102 Oak Lawn Ave #202,Dallas,75219,United States,https://perryweather.com,info@perryweather.com,(469) 546-5082,Software Company|Weather Forecast Service,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/655bc2a3f85442cfdfd79372/198x149.png
62e8cb198d54c208c34ecdf7,"ShapedPlugin, LLC",shapedplugin.com,https://www.trustpilot.com/review/shapedplugin.com,4.9,5,128,True,1207 Delaware Ave #778,Wilmington,19806,United States,https://shapedplugin.com,support@shapedplugin.com,+13023020310,Software Company,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/62e8cb198d54c208c34ecdf7/198x149.png
66997e2df462e383527a7bc8,Inclined,inclined.com,https://www.trustpilot.com/review/inclined.com,4.9,5,111,True,"548 Market St, #59913",San Francisco,94104,United States,https://inclined.com,support@inclined.com,855-282-0441,Software Company|Loan Agency|Alternative Financial Service,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/66997e2df462e383527a7bc8/198x149.png
5fff364e6c9e5f0001efd9b1,BigScoots,bigscoots.com,https://www.trustpilot.com/review/bigscoots.com,4.9,5,110,True,350 E. Cermak Rd.,Chicago,60616,United States,https://bigscoots.com,marketing@bigscoots.com,877-570-3396,Web Hosting Company|Business to Business Service|e-Commerce Solution Provider|e-Commerce Service|Business and IT Consulting Agency,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5fff364e6c9e5f0001efd9b1/198x149.png
